,Płeć,Kategoria wiekowa,Rocznik,Czas_na_5km,Czas_na_10km,Czas_na_15km,Czas_półmaratonu,Wiek
17877,0,0,2002,1984,4025,6426,9675,22
17776,0,0,2002,2126,4203,6504,9558,22
17691,0,0,2002,1768,3675,5986,9429,22
17577,0,0,2002,2070,4176,6431,9301,22
17558,0,0,2002,2288,4454,6647,9282,22
17494,0,0,2002,2170,4393,6654,9219,22
17487,0,0,2002,2042,4102,6278,9205,22
17459,0,0,2002,2084,4198,6427,9180,22
17238,0,0,2002,2106,4107,6214,8992,22
17201,1,6,2002,1670,3416,5826,8967,22
17112,0,0,2002,2171,4227,6363,8914,22
17028,1,6,2002,1907,3822,5957,8852,22
17022,1,6,2002,2003,3952,6101,8849,22
17010,0,0,2002,2002,3979,6144,8843,22
16936,0,0,2002,2014,3975,6109,8804,22
16699,0,0,2002,1913,3823,5900,8647,22
16694,1,6,2002,2021,3924,5977,8644,22
16678,1,6,2002,1863,3835,6007,8631,22
16639,0,0,2002,1916,3766,5775,8606,22
16534,1,6,2002,1709,3538,5890,8548,22
16515,0,0,2002,1910,3796,5844,8538,22
16226,0,0,2002,1882,3743,5804,8397,22
16196,0,0,2002,1748,3722,5841,8384,22
16172,1,6,2002,1916,3754,5753,8369,22
16096,0,0,2002,1681,3441,5602,8333,22
16050,1,6,2002,1843,3744,5726,8310,22
16042,1,6,2002,1848,3742,5725,8307,22
15790,0,0,2002,1829,3635,5606,8197,22
15709,0,0,2002,1890,3823,5726,8167,22
15689,0,0,2002,2021,3833,5694,8159,22
15685,1,6,2002,2007,3883,5757,8157,22
15635,1,6,2002,1948,3778,5710,8135,22
15577,1,6,2002,1800,3631,5571,8111,22
15532,0,0,2002,1914,3765,5774,8091,22
15400,1,6,2002,1929,3886,5771,8036,22
15374,0,0,2002,1859,3667,5564,8026,22
15197,1,6,2002,1542,3288,5260,7952,22
14947,1,6,2002,1847,3630,5481,7865,22
14925,0,0,2002,1819,3577,5489,7860,22
14918,1,6,2002,1889,3644,5463,7858,22
14843,0,0,2002,1813,3629,5553,7832,22
14837,0,0,2002,1804,3550,5458,7830,22
14817,1,6,2002,1610,3271,5172,7824,22
14815,0,0,2002,1800,3485,5324,7824,22
